Name,Level,Type,Rarity,Attack,Defense,Armor,Damage,HP,Stamina,Enhancements
Amulet of Phalla,637,Amulet,Rare,149,0,0,1129,0,,
Armor of Genalli,637,Armor,Common,0,0,945,329,0,,
Axe of Ralligha,637,Weapon,Common,999,0,0,275,0,,
Boots of Allemal,637,Boots,Common,0,967,0,295,12,,
Ring of Hodal,637,Ring,Common,1105,0,0,169,0,,
Rune of Hullal,637,Rune,Rare,299,0,979,0,0,,
Rune of Uniffal,637,Rune,Common,874,0,0,400,0,,
Amulet of Tinale,636,Amulet,Rare,276,0,0,1000,0,,
Armor of Vengale,636,Armor,Common,785,0,487,0,0,,
Diplomatic Letter,636,Quest Item,Unique,0,0,0,0,0,,
Rune of Unfenor,636,Rune,Common,472,0,0,800,0,,
Shield of Enrighal,636,Shield,Common,0,0,950,322,0,,
Tragoon Pendant,636,Amulet,Unique,988,0,0,300,0,,
Chevial Blade,635,Quest Item,Unique,0,0,0,0,0,,
Flail of Acualle,635,Weapon,Rare,249,0,0,1025,0,,
Gloves of Shuave,635,Gloves,Common,855,415,0,0,0,,
Helmet of Colarr,635,Helmet,Common,415,0,0,855,0,,
Rune of Eassel,635,Rune,Common,0,0,320,950,0,,
Amulet of Kombael,634,Amulet,Rare,0,989,0,283,0,,
Boots of Squiall,634,Boots,Common,885,0,0,383,0,,
Blade of Darkal,638,Weapon,Common,425,0,0,851,0,,
Chevial Sword,638,Weapon,Unique,510,0,0,776,0,,
Chevial Sword Recipe,638,Recipe,Unique,0,0,0,0,0,,
Gloves of Rumbale,638,Gloves,Common,0,881,0,395,0,,
Rune of Eiahl,638,Rune,Common,0,897,0,379,0,,
Amulet of Phalla,637,Amulet,Rare,149,0,0,1129,0,,
Armor of Genalli,637,Armor,Common,0,0,945,329,0,,
Axe of Ralligha,637,Weapon,Common,999,0,0,275,0,,
Boots of Allemal,637,Boots,Common,0,967,0,295,12,,
Ring of Hodal,637,Ring,Common,1105,0,0,169,0,,
Rune of Hullal,637,Rune,Rare,299,0,979,0,0,,
Rune of Uniffal,637,Rune,Common,874,0,0,400,0,,
Amulet of Tinale,636,Amulet,Rare,276,0,0,1000,0,,
Armor of Vengale,636,Armor,Common,785,0,487,0,0,,
Diplomatic Letter,636,Quest Item,Unique,0,0,0,0,0,,
Rune of Unfenor,636,Rune,Common,472,0,0,800,0,,
Shield of Enrighal,636,Shield,Common,0,0,950,322,0,,
Tragoon Pendant,636,Amulet,Unique,988,0,0,300,0,,
Chevial Blade,635,Quest Item,Unique,0,0,0,0,0,,
Flail of Acualle,635,Weapon,Rare,249,0,0,1025,0,,
Gloves of Shuave,635,Gloves,Common,855,415,0,0,0,,
Helmet of Colarr,635,Helmet,Common,415,0,0,855,0,,
Rune of Eassel,635,Rune,Common,0,0,320,950,0,,
Amulet of Kombael,634,Amulet,Rare,0,989,0,283,0,,
Boots of Squiall,634,Boots,Common,885,0,0,383,0,,
Shield of Yoth,552,Shield,Rare,200,600,0,308,0,,
Amulet of Rill,551,Amulet,Common,0,402,600,100,0,,
Boots of Gilgath,551,Boots,Rare,300,304,0,506,0,,
Helmet of Daruth,551,Helmet,Rare,300,606,0,200,0,,
Helmet of Tuldrom,551,Helmet,Rare,251,0,458,400,0,,
Pale Elder Blossom,551,Quest Item,Unique,0,0,0,0,0,,
Ring of Donthrin,551,Ring,Rare,246,0,200,640,20,,
Sandals of Aroth,551,Boots,Common,300,592,0,210,0,,
Armor of Darthom,550,Armor,Rare,352,0,541,211,0,,
Balaurs Broad Axe,550,Weapon,Legendary,255,370,0,625,0,,
Balaurs Coiled Ring,550,Ring,Legendary,585,245,0,420,0,,
Balaurs Reptilian Shield,550,Shield,Legendary,265,410,0,575,0,,
Balaurs Scaled Helm,550,Helmet,Legendary,200,600,0,450,0,,
Collectors Boots,550,Boots,Unique,405,705,0,0,0,,
Dwarven Glyph Keystone,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Glyph Keystone Piece,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Golem Pick,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Kicking Stompers,550,Boots,Unique,0,0,720,480,0,,
Dwarven Stabby Dagger,550,Weapon,Unique,0,0,710,490,0,,
Gloves of Ollerbary,550,Gloves,Rare,560,304,0,240,0,,
Granny Jezes Jumper,550,Armor,Epic,0,0,980,420,0,,
Granny Jezes Sweater,550,Armor,Epic,0,0,1440,960,0,,
Hammer of Gustav,550,Weapon,Rare,350,0,200,554,0,,
Lamassu Boots,550,Boots,Legendary,750,500,0,0,0,,
Lamassu Rune,550,Rune,Legendary,791,459,0,0,0,,
Shield of Yoth,552,Shield,Rare,200,600,0,308,0,,
Amulet of Rill,551,Amulet,Common,0,402,600,100,0,,
Boots of Gilgath,551,Boots,Rare,300,304,0,506,0,,
Helmet of Daruth,551,Helmet,Rare,300,606,0,200,0,,
Helmet of Tuldrom,551,Helmet,Rare,251,0,458,400,0,,
Pale Elder Blossom,551,Quest Item,Unique,0,0,0,0,0,,
Ring of Donthrin,551,Ring,Rare,246,0,200,640,20,,
Sandals of Aroth,551,Boots,Common,300,592,0,210,0,,
Armor of Darthom,550,Armor,Rare,352,0,541,211,0,,
Balaurs Broad Axe,550,Weapon,Legendary,255,370,0,625,0,,
Balaurs Coiled Ring,550,Ring,Legendary,585,245,0,420,0,,
Balaurs Reptilian Shield,550,Shield,Legendary,265,410,0,575,0,,
Balaurs Scaled Helm,550,Helmet,Legendary,200,600,0,450,0,,
Collectors Boots,550,Boots,Unique,405,705,0,0,0,,
Dwarven Glyph Keystone,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Glyph Keystone Piece,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Golem Pick,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Kicking Stompers,550,Boots,Unique,0,0,720,480,0,,
Dwarven Stabby Dagger,550,Weapon,Unique,0,0,710,490,0,,
Gloves of Ollerbary,550,Gloves,Rare,560,304,0,240,0,,
Granny Jezes Jumper,550,Armor,Epic,0,0,980,420,0,,
Granny Jezes Sweater,550,Armor,Epic,0,0,1440,960,0,,
Hammer of Gustav,550,Weapon,Rare,350,0,200,554,0,,
Lamassu Boots,550,Boots,Legendary,750,500,0,0,0,,
Lamassu Rune,550,Rune,Legendary,791,459,0,0,0,,
Shield of Yoth,552,Shield,Rare,200,600,0,308,0,,
Amulet of Rill,551,Amulet,Common,0,402,600,100,0,,
Boots of Gilgath,551,Boots,Rare,300,304,0,506,0,,
Helmet of Daruth,551,Helmet,Rare,300,606,0,200,0,,
Helmet of Tuldrom,551,Helmet,Rare,251,0,458,400,0,,
Pale Elder Blossom,551,Quest Item,Unique,0,0,0,0,0,,
Ring of Donthrin,551,Ring,Rare,246,0,200,640,20,,
Sandals of Aroth,551,Boots,Common,300,592,0,210,0,,
Armor of Darthom,550,Armor,Rare,352,0,541,211,0,,
Balaurs Broad Axe,550,Weapon,Legendary,255,370,0,625,0,,
Balaurs Coiled Ring,550,Ring,Legendary,585,245,0,420,0,,
Balaurs Reptilian Shield,550,Shield,Legendary,265,410,0,575,0,,
Balaurs Scaled Helm,550,Helmet,Legendary,200,600,0,450,0,,
Collectors Boots,550,Boots,Unique,405,705,0,0,0,,
Dwarven Glyph Keystone,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Glyph Keystone Piece,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Golem Pick,550,Quest Item,Unique,0,0,0,0,0,,
Dwarven Kicking Stompers,550,Boots,Unique,0,0,720,480,0,,
Dwarven Stabby Dagger,550,Weapon,Unique,0,0,710,490,0,,
Gloves of Ollerbary,550,Gloves,Rare,560,304,0,240,0,,
Granny Jezes Jumper,550,Armor,Epic,0,0,980,420,0,,
Granny Jezes Sweater,550,Armor,Epic,0,0,1440,960,0,,
Hammer of Gustav,550,Weapon,Rare,350,0,200,554,0,,
Lamassu Boots,550,Boots,Legendary,750,500,0,0,0,,
Lamassu Rune,550,Rune,Legendary,791,459,0,0,0,,
Amulet of Sivgath,494,Amulet,Rare,344,0,301,347,0,,
Armor of Raxinor,494,Armor,Rare,272,0,318,402,0,,
Boots of Sarconiss,494,Boots,Rare,251,423,0,318,0,,
Gloves of Taluk,494,Gloves,Rare,288,382,0,322,0,,
Halbard of Sarruk,494,Weapon,Rare,404,200,0,388,0,,
Helmet of Orthan,494,Helmet,Common,273,413,0,302,0,,
Ring of Qinvoll,494,Ring,Common,150,608,0,230,0,,
Rune of Riztor,494,Rune,Common,290,310,0,388,0,,
Shield of Pallfor,494,Shield,Rare,235,0,453,304,0,,
Amulet of Norlin,493,Amulet,Rare,326,341,0,323,0,,
Armor of Lishpol,493,Armor,Common,346,0,370,270,0,,
Boots of Xort,493,Boots,Rare,445,545,0,0,0,,
Gloves of Eathor,493,Gloves,Common,324,0,410,252,0,,
Helmet of Hilthyog,493,Helmet,Common,300,430,0,256,0,,
Hydra Flail of Athdon,493,Weapon,Rare,367,0,216,407,0,,
Ring of Warvon,493,Ring,Rare,278,408,0,304,0,,
Rune of Dirkrill,493,Rune,Rare,202,502,0,286,0,,
Shield of Kilosol,493,Shield,Rare,360,426,0,204,0,,
Trade Sample,493,Amulet,Unique,100,0,400,496,0,,
Amulet of Arjinis,492,Amulet,Common,330,412,0,242,0,,
Armor of Lathos,492,Armor,Rare,274,381,0,333,0,,
Boots of Kifin,492,Boots,Common,275,370,0,339,0,,
Flail of Yonsor,492,Weapon,Rare,303,231,0,454,0,,
Gloves of Lithverr,492,Gloves,Rare,288,0,424,276,0,,
Helmet of Palluth,492,Helmet,Common,330,0,354,300,0,,
Amulet of Sivgath,494,Amulet,Rare,344,0,301,347,0,,
Armor of Raxinor,494,Armor,Rare,272,0,318,402,0,,
Boots of Sarconiss,494,Boots,Rare,251,423,0,318,0,,
Gloves of Taluk,494,Gloves,Rare,288,382,0,322,0,,
Halbard of Sarruk,494,Weapon,Rare,404,200,0,388,0,,
Helmet of Orthan,494,Helmet,Common,273,413,0,302,0,,
Ring of Qinvoll,494,Ring,Common,150,608,0,230,0,,
Rune of Riztor,494,Rune,Common,290,310,0,388,0,,
Shield of Pallfor,494,Shield,Rare,235,0,453,304,0,,
Amulet of Norlin,493,Amulet,Rare,326,341,0,323,0,,
Armor of Lishpol,493,Armor,Common,346,0,370,270,0,,
Boots of Xort,493,Boots,Rare,445,545,0,0,0,,
Gloves of Eathor,493,Gloves,Common,324,0,410,252,0,,
Helmet of Hilthyog,493,Helmet,Common,300,430,0,256,0,,
Hydra Flail of Athdon,493,Weapon,Rare,367,0,216,407,0,,
Ring of Warvon,493,Ring,Rare,278,408,0,304,0,,
Rune of Dirkrill,493,Rune,Rare,202,502,0,286,0,,
Shield of Kilosol,493,Shield,Rare,360,426,0,204,0,,
Trade Sample,493,Amulet,Unique,100,0,400,496,0,,
Amulet of Arjinis,492,Amulet,Common,330,412,0,242,0,,
Armor of Lathos,492,Armor,Rare,274,381,0,333,0,,
Boots of Kifin,492,Boots,Common,275,370,0,339,0,,
Flail of Yonsor,492,Weapon,Rare,303,231,0,454,0,,
Gloves of Lithverr,492,Gloves,Rare,288,0,424,276,0,,
Helmet of Palluth,492,Helmet,Common,330,0,354,300,0,,
Amulet of Sivgath,494,Amulet,Rare,344,0,301,347,0,,
Armor of Raxinor,494,Armor,Rare,272,0,318,402,0,,
Boots of Sarconiss,494,Boots,Rare,251,423,0,318,0,,
Gloves of Taluk,494,Gloves,Rare,288,382,0,322,0,,
Halbard of Sarruk,494,Weapon,Rare,404,200,0,388,0,,
Helmet of Orthan,494,Helmet,Common,273,413,0,302,0,,
Ring of Qinvoll,494,Ring,Common,150,608,0,230,0,,
Rune of Riztor,494,Rune,Common,290,310,0,388,0,,
Shield of Pallfor,494,Shield,Rare,235,0,453,304,0,,
Amulet of Norlin,493,Amulet,Rare,326,341,0,323,0,,
Armor of Lishpol,493,Armor,Common,346,0,370,270,0,,
Boots of Xort,493,Boots,Rare,445,545,0,0,0,,
Gloves of Eathor,493,Gloves,Common,324,0,410,252,0,,
Helmet of Hilthyog,493,Helmet,Common,300,430,0,256,0,,
Hydra Flail of Athdon,493,Weapon,Rare,367,0,216,407,0,,
Ring of Warvon,493,Ring,Rare,278,408,0,304,0,,
Rune of Dirkrill,493,Rune,Rare,202,502,0,286,0,,
Shield of Kilosol,493,Shield,Rare,360,426,0,204,0,,
Trade Sample,493,Amulet,Unique,100,0,400,496,0,,
Amulet of Arjinis,492,Amulet,Common,330,412,0,242,0,,
Armor of Lathos,492,Armor,Rare,274,381,0,333,0,,
Boots of Kifin,492,Boots,Common,275,370,0,339,0,,
Flail of Yonsor,492,Weapon,Rare,303,231,0,454,0,,
Gloves of Lithverr,492,Gloves,Rare,288,0,424,276,0,,
Helmet of Palluth,492,Helmet,Common,330,0,354,300,0,,
Gloves of Rahgoz,443,Gloves,Rare,204,454,0,236,0,,
Helmet of Musrin,443,Helmet,Rare,126,0,454,310,0,,
Helmet of Sargondrin,443,Helmet,Rare,235,500,0,159,0,,
Ring of Norta,443,Ring,Common,280,0,400,206,0,,
Rune of Argoron,443,Rune,Rare,340,256,0,294,0,,
Shield of Vindah,443,Shield,Common,130,510,0,246,0,,
Amulet of Azvox,442,Amulet,Common,344,0,380,160,0,,
Armor of Sessfor,442,Armor,Rare,200,554,0,134,0,,
Boots of Firdrin,442,Boots,Common,350,0,300,234,0,,
Edge of Razbel,442,Weapon,Rare,320,154,0,414,0,,
Gloves of Nozfin,442,Gloves,Common,200,484,0,200,0,,
Helmet of Ashgin,442,Helmet,Rare,212,0,554,122,0,,
Ring of Ussdor,442,Ring,Rare,370,314,0,210,0,,
Rune of Loggot,442,Rune,Common,320,239,0,325,0,,
Shield of Ladrin,442,Shield,Rare,162,0,442,284,0,,
Amulet of Gisvar,441,Amulet,Rare,275,0,302,297,10,,
Armor of Sasdrin,441,Armor,Rare,200,454,0,232,0,,
Bane of Undeath,441,Weapon,Unique,292,0,0,600,0,,
Boots of Gerthon,441,Boots,Rare,250,0,354,282,0,,
Digestive Gland,441,Quest Item,Unique,0,0,0,0,0,,
Gloves of Podqas,441,Gloves,Rare,0,0,504,382,0,,
Grub Carapace,441,Component,Rare,0,0,0,0,0,,
Grub Head,441,Component,Rare,0,0,0,0,0,,
Grub Jelly,441,Component,Rare,0,0,0,0,0,,
Helmet of Vardor,441,Helmet,Rare,120,554,0,212,0,,
Gloves of Rahgoz,443,Gloves,Rare,204,454,0,236,0,,
Helmet of Musrin,443,Helmet,Rare,126,0,454,310,0,,
Helmet of Sargondrin,443,Helmet,Rare,235,500,0,159,0,,
Ring of Norta,443,Ring,Common,280,0,400,206,0,,
Rune of Argoron,443,Rune,Rare,340,256,0,294,0,,
Shield of Vindah,443,Shield,Common,130,510,0,246,0,,
Amulet of Azvox,442,Amulet,Common,344,0,380,160,0,,
Armor of Sessfor,442,Armor,Rare,200,554,0,134,0,,
Boots of Firdrin,442,Boots,Common,350,0,300,234,0,,
Edge of Razbel,442,Weapon,Rare,320,154,0,414,0,,
Gloves of Nozfin,442,Gloves,Common,200,484,0,200,0,,
Helmet of Ashgin,442,Helmet,Rare,212,0,554,122,0,,
Ring of Ussdor,442,Ring,Rare,370,314,0,210,0,,
Rune of Loggot,442,Rune,Common,320,239,0,325,0,,
Shield of Ladrin,442,Shield,Rare,162,0,442,284,0,,
Amulet of Gisvar,441,Amulet,Rare,275,0,302,297,10,,
Armor of Sasdrin,441,Armor,Rare,200,454,0,232,0,,
Bane of Undeath,441,Weapon,Unique,292,0,0,600,0,,
Boots of Gerthon,441,Boots,Rare,250,0,354,282,0,,
Digestive Gland,441,Quest Item,Unique,0,0,0,0,0,,
Gloves of Podqas,441,Gloves,Rare,0,0,504,382,0,,
Grub Carapace,441,Component,Rare,0,0,0,0,0,,
Grub Head,441,Component,Rare,0,0,0,0,0,,
Grub Jelly,441,Component,Rare,0,0,0,0,0,,
Helmet of Vardor,441,Helmet,Rare,120,554,0,212,0,,
Gloves of Rahgoz,443,Gloves,Rare,204,454,0,236,0,,
Helmet of Musrin,443,Helmet,Rare,126,0,454,310,0,,
Helmet of Sargondrin,443,Helmet,Rare,235,500,0,159,0,,
Ring of Norta,443,Ring,Common,280,0,400,206,0,,
Rune of Argoron,443,Rune,Rare,340,256,0,294,0,,
Shield of Vindah,443,Shield,Common,130,510,0,246,0,,
Amulet of Azvox,442,Amulet,Common,344,0,380,160,0,,
Armor of Sessfor,442,Armor,Rare,200,554,0,134,0,,
Boots of Firdrin,442,Boots,Common,350,0,300,234,0,,
Edge of Razbel,442,Weapon,Rare,320,154,0,414,0,,
Gloves of Nozfin,442,Gloves,Common,200,484,0,200,0,,
Helmet of Ashgin,442,Helmet,Rare,212,0,554,122,0,,
Ring of Ussdor,442,Ring,Rare,370,314,0,210,0,,
Rune of Loggot,442,Rune,Common,320,239,0,325,0,,
Shield of Ladrin,442,Shield,Rare,162,0,442,284,0,,
Amulet of Gisvar,441,Amulet,Rare,275,0,302,297,10,,
Armor of Sasdrin,441,Armor,Rare,200,454,0,232,0,,
Bane of Undeath,441,Weapon,Unique,292,0,0,600,0,,
Boots of Gerthon,441,Boots,Rare,250,0,354,282,0,,
Digestive Gland,441,Quest Item,Unique,0,0,0,0,0,,
Gloves of Podqas,441,Gloves,Rare,0,0,504,382,0,,
Grub Carapace,441,Component,Rare,0,0,0,0,0,,
Grub Head,441,Component,Rare,0,0,0,0,0,,
Grub Jelly,441,Component,Rare,0,0,0,0,0,,
Helmet of Vardor,441,Helmet,Rare,120,554,0,212,0,,
Bat Guts,393,Quest Item,Unique,0,0,0,0,0,,
Boots of Bayill,393,Boots,Common,211,453,0,122,0,,
Gloves of Worrill,393,Gloves,Common,147,0,492,147,0,,
Helmet of Rambarr,393,Helmet,Common,144,502,0,140,0,,
Lava Jelly,393,Quest Item,Unique,0,0,0,0,0,,
Ring of Vorvok,393,Ring,Common,334,452,0,0,0,,
Rune of Turzaik,393,Rune,Common,273,311,0,202,0,,
Shield of Athim,393,Shield,Rare,300,0,304,186,0,,
Sword of Fultorn,393,Weapon,Rare,225,0,0,565,0,,
Withered Hand Amulet,393,Amulet,Unique,330,0,260,196,15,,
Amulet of Pyitunda,392,Amulet,Rare,287,0,505,0,0,,
Armor of Zrani,392,Armor,Rare,158,634,0,0,0,,
Boots of Terindarth,392,Boots,Rare,266,0,526,0,0,,
Gloves of Krintoll,392,Gloves,Rare,304,488,0,0,0,,
Helmet of Omnhari,392,Helmet,Rare,0,0,555,233,0,,
Ring of Lyantane,392,Ring,Rare,0,548,0,240,0,,
Rune of Elyserta,392,Rune,Rare,0,0,607,181,0,,
Shield of Gordortin,392,Shield,Rare,250,404,0,134,0,,
Sword of Tukanthos,392,Weapon,Rare,437,0,0,351,0,,
Amulet of Ternali,391,Amulet,Common,122,660,0,0,0,,
Armor of Yhina,391,Armor,Common,104,572,0,106,0,,
Boots of Verin,391,Boots,Common,60,586,0,136,0,,
Gloves of Strafane,391,Gloves,Common,201,378,0,203,0,,
Helmet of Seilrantha,391,Helmet,Common,211,571,0,0,0,,
Ring of Narmahari,391,Ring,Rare,200,586,0,0,0,,
Bat Guts,393,Quest Item,Unique,0,0,0,0,0,,
Boots of Bayill,393,Boots,Common,211,453,0,122,0,,
Gloves of Worrill,393,Gloves,Common,147,0,492,147,0,,
Helmet of Rambarr,393,Helmet,Common,144,502,0,140,0,,
Lava Jelly,393,Quest Item,Unique,0,0,0,0,0,,
Ring of Vorvok,393,Ring,Common,334,452,0,0,0,,
Rune of Turzaik,393,Rune,Common,273,311,0,202,0,,
Shield of Athim,393,Shield,Rare,300,0,304,186,0,,
Sword of Fultorn,393,Weapon,Rare,225,0,0,565,0,,
Withered Hand Amulet,393,Amulet,Unique,330,0,260,196,15,,
Amulet of Pyitunda,392,Amulet,Rare,287,0,505,0,0,,
Armor of Zrani,392,Armor,Rare,158,634,0,0,0,,
Boots of Terindarth,392,Boots,Rare,266,0,526,0,0,,
Gloves of Krintoll,392,Gloves,Rare,304,488,0,0,0,,
Helmet of Omnhari,392,Helmet,Rare,0,0,555,233,0,,
Ring of Lyantane,392,Ring,Rare,0,548,0,240,0,,
Rune of Elyserta,392,Rune,Rare,0,0,607,181,0,,
Shield of Gordortin,392,Shield,Rare,250,404,0,134,0,,
Sword of Tukanthos,392,Weapon,Rare,437,0,0,351,0,,
Amulet of Ternali,391,Amulet,Common,122,660,0,0,0,,
Armor of Yhina,391,Armor,Common,104,572,0,106,0,,
Boots of Verin,391,Boots,Common,60,586,0,136,0,,
Gloves of Strafane,391,Gloves,Common,201,378,0,203,0,,
Helmet of Seilrantha,391,Helmet,Common,211,571,0,0,0,,
Ring of Narmahari,391,Ring,Rare,200,586,0,0,0,,
Bat Guts,393,Quest Item,Unique,0,0,0,0,0,,
Boots of Bayill,393,Boots,Common,211,453,0,122,0,,
Gloves of Worrill,393,Gloves,Common,147,0,492,147,0,,
Helmet of Rambarr,393,Helmet,Common,144,502,0,140,0,,
Lava Jelly,393,Quest Item,Unique,0,0,0,0,0,,
Ring of Vorvok,393,Ring,Common,334,452,0,0,0,,
Rune of Turzaik,393,Rune,Common,273,311,0,202,0,,
Shield of Athim,393,Shield,Rare,300,0,304,186,0,,
Sword of Fultorn,393,Weapon,Rare,225,0,0,565,0,,
Withered Hand Amulet,393,Amulet,Unique,330,0,260,196,15,,
Amulet of Pyitunda,392,Amulet,Rare,287,0,505,0,0,,
Armor of Zrani,392,Armor,Rare,158,634,0,0,0,,
Boots of Terindarth,392,Boots,Rare,266,0,526,0,0,,
Gloves of Krintoll,392,Gloves,Rare,304,488,0,0,0,,
Helmet of Omnhari,392,Helmet,Rare,0,0,555,233,0,,
Ring of Lyantane,392,Ring,Rare,0,548,0,240,0,,
Rune of Elyserta,392,Rune,Rare,0,0,607,181,0,,
Shield of Gordortin,392,Shield,Rare,250,404,0,134,0,,
Sword of Tukanthos,392,Weapon,Rare,437,0,0,351,0,,
Amulet of Ternali,391,Amulet,Common,122,660,0,0,0,,
Armor of Yhina,391,Armor,Common,104,572,0,106,0,,
Boots of Verin,391,Boots,Common,60,586,0,136,0,,
Gloves of Strafane,391,Gloves,Common,201,378,0,203,0,,
Helmet of Seilrantha,391,Helmet,Common,211,571,0,0,0,,
Ring of Narmahari,391,Ring,Rare,200,586,0,0,0,,
Ring of Trebalie,337,Ring,Rare,478,0,190,0,10,,
Rune of Korbish,337,Rune,Rare,404,274,0,0,0,,
Shield of Perkali,337,Shield,Rare,78,0,500,100,0,,
Amulet of Bowaleo,336,Amulet,Rare,150,0,425,100,0,,
Armor of Rohani,336,Armor,Rare,456,0,205,0,15,,
Axe of Zrultar,336,Weapon,Rare,545,0,131,0,0,,
Boots of Sigreshil,336,Boots,Rare,122,549,0,0,5,,
Gloves of Fairthavom,336,Gloves,Rare,216,0,460,0,0,,
Helmet of Varush,336,Helmet,Common,0,546,0,121,5,,
Ring of Heligez,336,Ring,Common,500,0,172,0,0,,
Rune of Shuhldraith,336,Rune,Common,0,452,0,220,0,,
Shield of Coakli,336,Shield,Common,50,0,472,150,0,,
Amulet of Hurinal,335,Amulet,Rare,450,0,209,0,15,,
Armor of Elraios,335,Armor,Rare,0,0,470,200,4,,
Boots of Ukathar,335,Boots,Rare,0,0,514,160,0,,
Frosted Dipsoshell Egg,335,Quest Item,Unique,0,0,0,0,0,,
Gloves of Anion,335,Gloves,Rare,0,454,0,220,0,,
Helmet of Yealfulpar,335,Helmet,Rare,160,0,505,0,9,,
Ring of Elibhar,335,Ring,Rare,500,0,100,75,0,,
Rune of Hwissnood,335,Rune,Rare,0,479,0,195,0,,
Shield of Heighma,335,Shield,Rare,0,0,470,200,4,,
Sword of Cheldrail,335,Weapon,Rare,516,0,158,0,0,,
Tri Armor,335,Armor,Super Elite,0,0,100,0,0,,
Tri Helm,335,Helmet,Super Elite,100,0,0,0,0,,
Tri Sword,335,Weapon,Super Elite,0,0,0,100,0,,
Ring of Trebalie,337,Ring,Rare,478,0,190,0,10,,
Rune of Korbish,337,Rune,Rare,404,274,0,0,0,,
Shield of Perkali,337,Shield,Rare,78,0,500,100,0,,
Amulet of Bowaleo,336,Amulet,Rare,150,0,425,100,0,,
Armor of Rohani,336,Armor,Rare,456,0,205,0,15,,
Axe of Zrultar,336,Weapon,Rare,545,0,131,0,0,,
Boots of Sigreshil,336,Boots,Rare,122,549,0,0,5,,
Gloves of Fairthavom,336,Gloves,Rare,216,0,460,0,0,,
Helmet of Varush,336,Helmet,Common,0,546,0,121,5,,
Ring of Heligez,336,Ring,Common,500,0,172,0,0,,
Rune of Shuhldraith,336,Rune,Common,0,452,0,220,0,,
Shield of Coakli,336,Shield,Common,50,0,472,150,0,,
Amulet of Hurinal,335,Amulet,Rare,450,0,209,0,15,,
Armor of Elraios,335,Armor,Rare,0,0,470,200,4,,
Boots of Ukathar,335,Boots,Rare,0,0,514,160,0,,
Frosted Dipsoshell Egg,335,Quest Item,Unique,0,0,0,0,0,,
Gloves of Anion,335,Gloves,Rare,0,454,0,220,0,,
Helmet of Yealfulpar,335,Helmet,Rare,160,0,505,0,9,,
Ring of Elibhar,335,Ring,Rare,500,0,100,75,0,,
Rune of Hwissnood,335,Rune,Rare,0,479,0,195,0,,
Shield of Heighma,335,Shield,Rare,0,0,470,200,4,,
Sword of Cheldrail,335,Weapon,Rare,516,0,158,0,0,,
Tri Armor,335,Armor,Super Elite,0,0,100,0,0,,
Tri Helm,335,Helmet,Super Elite,100,0,0,0,0,,
Tri Sword,335,Weapon,Super Elite,0,0,0,100,0,,
Ring of Trebalie,337,Ring,Rare,478,0,190,0,10,,
Rune of Korbish,337,Rune,Rare,404,274,0,0,0,,
Shield of Perkali,337,Shield,Rare,78,0,500,100,0,,
Amulet of Bowaleo,336,Amulet,Rare,150,0,425,100,0,,
Armor of Rohani,336,Armor,Rare,456,0,205,0,15,,
Axe of Zrultar,336,Weapon,Rare,545,0,131,0,0,,
Boots of Sigreshil,336,Boots,Rare,122,549,0,0,5,,
Gloves of Fairthavom,336,Gloves,Rare,216,0,460,0,0,,
Helmet of Varush,336,Helmet,Common,0,546,0,121,5,,
Ring of Heligez,336,Ring,Common,500,0,172,0,0,,
Rune of Shuhldraith,336,Rune,Common,0,452,0,220,0,,
Shield of Coakli,336,Shield,Common,50,0,472,150,0,,
Amulet of Hurinal,335,Amulet,Rare,450,0,209,0,15,,
Armor of Elraios,335,Armor,Rare,0,0,470,200,4,,
Boots of Ukathar,335,Boots,Rare,0,0,514,160,0,,
Frosted Dipsoshell Egg,335,Quest Item,Unique,0,0,0,0,0,,
Gloves of Anion,335,Gloves,Rare,0,454,0,220,0,,
Helmet of Yealfulpar,335,Helmet,Rare,160,0,505,0,9,,
Ring of Elibhar,335,Ring,Rare,500,0,100,75,0,,
Rune of Hwissnood,335,Rune,Rare,0,479,0,195,0,,
Shield of Heighma,335,Shield,Rare,0,0,470,200,4,,
Sword of Cheldrail,335,Weapon,Rare,516,0,158,0,0,,
Tri Armor,335,Armor,Super Elite,0,0,100,0,0,,
Tri Helm,335,Helmet,Super Elite,100,0,0,0,0,,
Tri Sword,335,Weapon,Super Elite,0,0,0,100,0,,
Gloves of Elkrigha,282,Gloves,Rare,0,267,0,288,12,,
Helmet of Cuasra,282,Helmet,Rare,0,164,0,403,0,,
Ring of Wonrela,282,Ring,Rare,264,303,0,0,0,,
Rune of Brali,282,Rune,Rare,503,0,0,64,0,,
Shield of Braklar,282,Shield,Rare,0,403,0,164,0,,
Sword of Echgard,282,Weapon,Rare,200,0,0,367,0,,
Amulet of Hethal,281,Amulet,Rare,0,265,0,300,0,,
Armor of Demval,281,Armor,Common,162,0,400,0,0,,
Axe of Valea,281,Weapon,Rare,303,0,0,262,0,,
